,id,name,year_published,min_players,max_players,primary_publisher,mechanics,num_user_ratings,average_user_rating,rank,num_mechs
52,iJPHEj8lCL,Bounty,2000,2.0,8.0,,[],0,0.0,9999999,0
53,UbSLJbg5zg,Gobblet,2000,2.0,2.0,BLUE ORANGE GAMES,"[{'id': '9YdRn9J9oZ', 'url': 'https://www.boardgameatlas.com/mechanic/9YdRn9J9oZ/undefined'}, {'id': 'uZJS07nXF5', 'url': 'https://www.boardgameatlas.com/mechanic/uZJS07nXF5/undefined'}]",11,3.3636363636363638,9999999,2
54,w0F9df92jw,Warmaster,2000,2.0,99.0,Games Workshop Ltd.,[],1,0.0,9999999,0
55,yg6oRAvB6g,River Dragons,2000,2.0,6.0,Surfin Meeple,"[{'id': 'PGjmKGi26h', 'url': 'https://www.boardgameatlas.com/mechanic/PGjmKGi26h/undefined'}, {'id': 'MEAoOygZsA', 'url': 'https://www.boardgameatlas.com/mechanic/MEAoOygZsA/undefined'}, {'id': 'DEvPj5twid', 'url': 'https://www.boardgameatlas.com/mechanic/DEvPj5twid/undefined'}]",17,3.176470588235294,9999999,3
56,dV3cdnNKMq,Yahtzee: Dragon Ball Z,2000,2.0,2.0,USAopoly,"[{'id': 'R0bGq4cAl4', 'url': 'https://www.boardgameatlas.com/mechanic/R0bGq4cAl4/undefined'}, {'id': 'r6yIFvyXDD', 'url': 'https://www.boardgameatlas.com/mechanic/r6yIFvyXDD/undefined'}, {'id': 'lA3KUtVFCy', 'url': 'https://www.boardgameatlas.com/mechanic/lA3KUtVFCy/undefined'}]",0,0.0,9999999,3
57,F1VXR8XeOL,Blockbuster Movie Game,2000,2.0,6.0,,"[{'id': '3dFd0RwsY4', 'url': 'https://www.boardgameatlas.com/mechanic/3dFd0RwsY4/undefined'}]",0,0.0,9999999,1
58,1AamaNXuPI,Derby,2000,3.0,5.0,,[],0,0.0,9999999,0
59,9ZsYp2M0Ty,Wongar,2000,3.0,5.0,,"[{'id': 'iWODHwRGuU', 'url': 'https://www.boardgameatlas.com/mechanic/iWODHwRGuU/undefined'}]",2,0.0,9999999,1
60,6X5HHg9dU7,Dilemma,2000,3.0,5.0,,[],0,0.0,9999999,0
61,g3CFBA2X1W,Gerüchteküche,2000,3.0,7.0,,[],0,0.0,9999999,0
62,g0Il5JkB4Y,Böse Buben,2000,2.0,4.0,,[],0,0.0,9999999,0
63,xFYoxK7ZJD,Rule the Hand,2000,3.0,4.0,,[],0,0.0,9999999,0
64,SeaYVClI4b,Trivial Pursuit Palm Edtion,2000,2.0,24.0,,"[{'id': 'mGBzR68m8Z', 'url': 'https://www.boardgameatlas.com/mechanic/mGBzR68m8Z/undefined'}]",0,0.0,9999999,1
65,Daz8CE7f0t,The Poll Game,2000,2.0,8.0,,"[{'id': 'JYYdBW6UCE', 'url': 'https://www.boardgameatlas.com/mechanic/JYYdBW6UCE/undefined'}]",1,0.0,9999999,1
66,rhsQk6HGbt,Last Minute,2000,2.0,3.0,,"[{'id': 'ebJKldFVeS', 'url': 'https://www.boardgameatlas.com/mechanic/ebJKldFVeS/undefined'}]",0,0.0,9999999,1
67,GDkimoEsG2,4X4,2000,2.0,4.0,,"[{'id': 'lA3KUtVFCy', 'url': 'https://www.boardgameatlas.com/mechanic/lA3KUtVFCy/undefined'}]",0,0.0,9999999,1
68,MTpMldnqJR,Pinocchio,2000,2.0,6.0,,[],0,0.0,9999999,0
69,cqlKDclniX,Living Greyhawk Gazetteer,2000,,,,[],0,0.0,9999999,0
70,7oQD86FteP,Wizard in Training Trading Card Game,2000,2.0,2.0,,[],0,0.0,9999999,0
71,1tYRpBk11j,Flip,2000,2.0,2.0,,[],0,0.0,9999999,0
72,WbgUyML8ll,Duck Dynasty: Redneck Wisdom,2000,2.0,12.0,Cardinal Industries,"[{'id': 'mGBzR68m8Z', 'url': 'https://www.boardgameatlas.com/mechanic/mGBzR68m8Z/undefined'}]",0,0.0,9999999,1
73,gbSLw8HMUC,Kings and Castles,2000,2.0,4.0,,[],0,0.0,9999999,0
74,9asolarQoL,Harry Potter and the Sorcerer's Stone Quidditch Card Game,2000,2.0,2.0,Mattel,"[{'id': 'WPytek5P8l', 'url': 'https://www.boardgameatlas.com/mechanic/WPytek5P8l/undefined'}]",2,0.0,9999999,1
75,YN1v7Fusoi,Kiezkönig,2000,3.0,6.0,,[],0,0.0,9999999,0
76,IyNGqoUYAp,Pillage & Plunder,2000,2.0,6.0,,[],0,0.0,9999999,0
77,0glqVb0SL4,Canasta Caliente,2000,2.0,6.0,Hasbro,"[{'id': 'lA3KUtVFCy', 'url': 'https://www.boardgameatlas.com/mechanic/lA3KUtVFCy/undefined'}]",12,2.9166666666666665,9999999,1
78,p3RpcexLuY,Pirate's Plunder,2000,2.0,6.0,,[],0,0.0,9999999,0
79,6OejS0cPpn,Troia,2000,2.0,4.0,,[],0,0.0,9999999,0
80,ZOXDMvL5Of,Connect 4 Flip,2000,2.0,2.0,Hasbro,"[{'id': '9YdRn9J9oZ', 'url': 'https://www.boardgameatlas.com/mechanic/9YdRn9J9oZ/undefined'}]",1,0.0,9999999,1
81,XmspoHQaN6,UNO NSYNC Card Game,2000,2.0,4.0,Mattel,[],0,0.0,9999999,0
82,JlQUNLrD5F,Circus Minimus,2000,2.0,7.0,,"[{'id': 'XM2FYZmBHH', 'url': 'https://www.boardgameatlas.com/mechanic/XM2FYZmBHH/undefined'}]",2,0.0,9999999,1
83,MGryh3n1xk,Logic and Reasoning: Riddle Master,2000,2.0,6.0,,"[{'id': 'mGBzR68m8Z', 'url': 'https://www.boardgameatlas.com/mechanic/mGBzR68m8Z/undefined'}]",0,0.0,9999999,1
84,LgaR4XIljd,Big Brother the Game - Get Ready for the Real Confrontation,2000,2.0,6.0,Pressman Toy Corporation,"[{'id': 'mGBzR68m8Z', 'url': 'https://www.boardgameatlas.com/mechanic/mGBzR68m8Z/undefined'}, {'id': 'JYYdBW6UCE', 'url': 'https://www.boardgameatlas.com/mechanic/JYYdBW6UCE/undefined'}]",0,0.0,9999999,2
85,aqWneBxjS3,Bulls & Cows,2000,2.0,2.0,,[],0,0.0,9999999,0
86,th83fDkPE1,ReFraze,2000,2.0,22.0,"Southern Fox, LLC",[],0,0.0,9999999,0
87,SU5zFve6Y4,Hedbanz,2000,2.0,6.0,Spin Master Ltd.,[],2,0.0,9999999,0
88,4k0fpJQhmE,Big Pirate,2000,2.0,4.0,,"[{'id': 'R0bGq4cAl4', 'url': 'https://www.boardgameatlas.com/mechanic/R0bGq4cAl4/undefined'}, {'id': 'WPytek5P8l', 'url': 'https://www.boardgameatlas.com/mechanic/WPytek5P8l/undefined'}]",0,0.0,9999999,2
89,e7F57zLj3F,Robo Battle Pigs,2000,2.0,8.0,,"[{'id': 'PGjmKGi26h', 'url': 'https://www.boardgameatlas.com/mechanic/PGjmKGi26h/undefined'}, {'id': 'RwgEONzIzc', 'url': 'https://www.boardgameatlas.com/mechanic/RwgEONzIzc/undefined'}]",1,0.0,9999999,2
90,mmZvbnGUhz,Diskwars: Legend of the Five Rings,2000,2.0,6.0,,"[{'id': 'XM2FYZmBHH', 'url': 'https://www.boardgameatlas.com/mechanic/XM2FYZmBHH/undefined'}]",3,0.0,9999999,1
91,XPmvpV8GIa,San Francisco-opoly,2000,2.0,6.0,,"[{'id': 'mGBzR68m8Z', 'url': 'https://www.boardgameatlas.com/mechanic/mGBzR68m8Z/undefined'}, {'id': 'lA3KUtVFCy', 'url': 'https://www.boardgameatlas.com/mechanic/lA3KUtVFCy/undefined'}, {'id': 'AVY6EvSQTP', 'url': 'https://www.boardgameatlas.com/mechanic/AVY6EvSQTP/undefined'}]",0,0.0,9999999,3
92,Dz1VkpwmuI,Think: Logic Logo Trainer,2000,1.0,4.0,,"[{'id': 'ebJKldFVeS', 'url': 'https://www.boardgameatlas.com/mechanic/ebJKldFVeS/undefined'}, {'id': 'GsNGxZFNCK', 'url': 'https://www.boardgameatlas.com/mechanic/GsNGxZFNCK/undefined'}]",0,0.0,9999999,2
93,jRkkG7Qzin,Kratz Die Kurve,2000,3.0,6.0,,[],0,0.0,9999999,0
94,8bR32qY0xl,Bioscopy,2000,3.0,4.0,,[],0,0.0,9999999,0
95,sHq4d7ecL6,Greek Fire,2000,2.0,2.0,,[],0,0.0,9999999,0
96,Cpd9bg6fyz,Dwarves,2000,2.0,6.0,,[],0,0.0,9999999,0
97,OcTGklpjto,Pez,2000,2.0,4.0,,[],0,0.0,9999999,0
98,siXLZsJ5sp,Dragon Ball Z CCG,2000,2.0,2.0,,[],0,0.0,9999999,0
99,9kVEVth6Ti,Scooby-doo! Expandable Card Game,2000,2.0,2.0,,[],0,0.0,9999999,0
100,D0OHY8b8Oc,Hive,2001,2.0,2.0,Gen Four Two Games,"[{'id': 'qu5BcGjAzk', 'url': 'https://www.boardgameatlas.com/mechanic/qu5BcGjAzk/undefined'}, {'id': '8PN2HE86wg', 'url': 'https://www.boardgameatlas.com/mechanic/8PN2HE86wg/undefined'}]",197,3.4346647237814643,92,2
101,dgZDurgbuY,Munchkin,2001,2.0,6.0,Steve Jackson Games,"[{'id': 'R0bGq4cAl4', 'url': 'https://www.boardgameatlas.com/mechanic/R0bGq4cAl4/undefined'}, {'id': 'wV5peB05xs', 'url': 'https://www.boardgameatlas.com/mechanic/wV5peB05xs/undefined'}, {'id': 'WPytek5P8l', 'url': 'https://www.boardgameatlas.com/mechanic/WPytek5P8l/undefined'}, {'id': 'T8JEFYwoqy', 'url': 'https://www.boardgameatlas.com/mechanic/T8JEFYwoqy/undefined'}]",247,2.472056219428522,195,4
102,SN5429sV0p,Dvonn Board Game,2001,2.0,2.0,Rio Grande Games,"[{'id': 'qu5BcGjAzk', 'url': 'https://www.boardgameatlas.com/mechanic/qu5BcGjAzk/undefined'}]",32,3.75,737,1
103,5mPjB6Ap5h,The Werewolves of Miller's Hollow,2001,8.0,18.0,Asmodee,"[{'id': 'GNtouC8NLm', 'url': 'https://www.boardgameatlas.com/mechanic/GNtouC8NLm/undefined'}, {'id': 'BGrhzIN69D', 'url': 'https://www.boardgameatlas.com/mechanic/BGrhzIN69D/undefined'}, {'id': 'EVeAdboGUA', 'url': 'https://www.boardgameatlas.com/mechanic/EVeAdboGUA/undefined'}, {'id': 'XM2FYZmBHH', 'url': 'https://www.boardgameatlas.com/mechanic/XM2FYZmBHH/undefined'}, {'id': 'JYYdBW6UCE', 'url': 'https://www.boardgameatlas.com/mechanic/JYYdBW6UCE/undefined'}]",50,3.0600000000000005,738,5
104,eC9nXBEyIg,TransAmerica,2001,2.0,6.0,Rio Grande Games,"[{'id': 'ohABM4GjbC', 'url': 'https://www.boardgameatlas.com/mechanic/ohABM4GjbC/undefined'}]",39,3.102564102564103,883,1
105,AOvHPG4F4w,Zendo,2001,3.0,5.0,Looney Labs,"[{'id': 'uZJS07nXF5', 'url': 'https://www.boardgameatlas.com/mechanic/uZJS07nXF5/undefined'}, {'id': 'DEvPj5twid', 'url': 'https://www.boardgameatlas.com/mechanic/DEvPj5twid/undefined'}]",26,3.538461538461538,958,2
106,2wHXbYpNDE,Zombies!!!,2001,2.0,6.0,"Twilight Creations, Inc.",[],58,2.293103448275862,962,0
107,hZLDaGKHJ8,Risk 2210 A.D.,2001,2.0,5.0,"Avalon Hill Games, Inc.","[{'id': 'bgGxE0pI2B', 'url': 'https://www.boardgameatlas.com/mechanic/bgGxE0pI2B/undefined'}, {'id': 'R0bGq4cAl4', 'url': 'https://www.boardgameatlas.com/mechanic/R0bGq4cAl4/undefined'}, {'id': 'XM2FYZmBHH', 'url': 'https://www.boardgameatlas.com/mechanic/XM2FYZmBHH/undefined'}]",33,3.0606060606060614,982,3
108,G0vAcBrVRr,Genoa,2001,2.0,5.0,Rio Grande,"[{'id': 'R0bGq4cAl4', 'url': 'https://www.boardgameatlas.com/mechanic/R0bGq4cAl4/undefined'}, {'id': 'qu5BcGjAzk', 'url': 'https://www.boardgameatlas.com/mechanic/qu5BcGjAzk/undefined'}, {'id': 'BbTMRkwL0b', 'url': 'https://www.boardgameatlas.com/mechanic/BbTMRkwL0b/undefined'}, {'id': 'lA3KUtVFCy', 'url': 'https://www.boardgameatlas.com/mechanic/lA3KUtVFCy/undefined'}, {'id': 'AVY6EvSQTP', 'url': 'https://www.boardgameatlas.com/mechanic/AVY6EvSQTP/undefined'}]",33,3.0303030303030307,988,5
109,Q3GQpfqb9R,Dragon's Gold,2001,3.0,6.0,IDW Games,"[{'id': 'WPytek5P8l', 'url': 'https://www.boardgameatlas.com/mechanic/WPytek5P8l/undefined'}, {'id': 'lA3KUtVFCy', 'url': 'https://www.boardgameatlas.com/mechanic/lA3KUtVFCy/undefined'}, {'id': 'AVY6EvSQTP', 'url': 'https://www.boardgameatlas.com/mechanic/AVY6EvSQTP/undefined'}]",21,3.142857142857143,1213,3
110,v3IEy7RMan,Villa Paletti,2001,2.0,4.0,Zoch Verlag,"[{'id': 'R0bGq4cAl4', 'url': 'https://www.boardgameatlas.com/mechanic/R0bGq4cAl4/undefined'}, {'id': '9YdRn9J9oZ', 'url': 'https://www.boardgameatlas.com/mechanic/9YdRn9J9oZ/undefined'}]",21,2.857142857142857,1257,2
111,T1IEI9o0wx,Homeworlds,2001,2.0,6.0,Looney Labs,"[{'id': 'U3zhCQH7Et', 'url': 'https://www.boardgameatlas.com/mechanic/U3zhCQH7Et/undefined'}, {'id': 'BGrhzIN69D', 'url': 'https://www.boardgameatlas.com/mechanic/BGrhzIN69D/undefined'}, {'id': 'MEAoOygZsA', 'url': 'https://www.boardgameatlas.com/mechanic/MEAoOygZsA/undefined'}]",3,0.0,9999999,3
112,0OFh7bdu0p,San Marco,2001,3.0,4.0,Ravensburger USA,"[{'id': '05zCZoLvQJ', 'url': 'https://www.boardgameatlas.com/mechanic/05zCZoLvQJ/undefined'}, {'id': 'iWODHwRGuU', 'url': 'https://www.boardgameatlas.com/mechanic/iWODHwRGuU/undefined'}]",20,3.15,9999999,2
113,7GPVW3vOul,Unexploded Cow,2001,2.0,6.0,Cheapass Games,"[{'id': 'R0bGq4cAl4', 'url': 'https://www.boardgameatlas.com/mechanic/R0bGq4cAl4/undefined'}, {'id': 'lA3KUtVFCy', 'url': 'https://www.boardgameatlas.com/mechanic/lA3KUtVFCy/undefined'}]",16,2.6145833333333335,9999999,2
114,2VYP0Rlv6n,Nexus,2001,2.0,4.0,,[],0,0.0,9999999,0
115,9Re2RxgOZj,Wilderness War,2001,2.0,2.0,GMT Games,"[{'id': 'xuphiSlrxI', 'url': 'https://www.boardgameatlas.com/mechanic/xuphiSlrxI/undefined'}, {'id': 'R0bGq4cAl4', 'url': 'https://www.boardgameatlas.com/mechanic/R0bGq4cAl4/undefined'}, {'id': 'MEAoOygZsA', 'url': 'https://www.boardgameatlas.com/mechanic/MEAoOygZsA/undefined'}]",5,0.0,9999999,3
116,VfuRQAft6y,Apex,2001,2.0,2.0,,[],0,0.0,9999999,0
